site,barcode,fstation,sitetype,stratum,sdate,stime,fdate,ftime,pool,lcode,gear,period,rep,summary,project,effdist,effhr,effmin,pwrgoal,pwrused,volts,v_qf,amps,a_qf,pulses,p_qf,dutycyc,dc_qf,utmzone,utm_e,utm_n,gisgrid,zone15e,zone15n,gpsmeth,gpsacc,secchi,s_qf,temp,t_qf,depth,d_qf,cond,c_qf,current,cv_qf,do,do_qf,stageht,sh_qf,sveg92,vegd,eveg92,esveg92,substrt,snag,wingdyke,trib,riprap,inout,closing,flooded,othrstrc,labind,contanrs,shtcnt,totfishc,leader,pageno,rec_site,rownum,fishcode,length,tfs,grp_wdth,catch,weight,pathcode,subproj,userdef,recorder,nfsh_cnt,orphflag,batchno
Bath Fixed,16009193,6,2,SCB,10/17/2008,08:33,10/17/2008,08:48,LG,I113.0Tb,D,3,,5.0,M-,200,0,15,4762,4800,200,,24.00,,60.00,,25,,15,743477,4455118,74350.45490,743477,4455118,2,2.0,27,,16.9,,2.00,,727,,0.23,,5.2,,,,,,,0,4,1,0,0,0,0,0,1,0,,0,,60,,1,1,10,SVCP,594,T,1,1,2065.00,,,,,,0,2704
BATH FIXED,16006057,6,2,SCB,06/25/2001,12:30,06/25/2001,12:45,LG,I113.0T,D,1,,5.0,M-,250,0,15,4900,4900,175,,28.00,,60.00,,25,,15,743477,4455118,74350.45490,743477,4455118,1,0.1,27,,25.3,,3.00,,649,,0.17,,8.5,,13.3,,,,,0,2,0,0,0,0,0,0,0,0,,0,1,24,490,1,1,3,SVCP,280,,1,1,,,,,490,24,0,2101
Bath Fixed,16010656,6,2,SCB,10/10/2011,11:05,10/10/2011,11:20,LG,I113.0Ta,D,3,,5.0,M-,200,0,15,5351,5375,215,,25.00,,60.00,,25,,15,743477,4455118,74350.45490,743477,4455118,2,1.0,26,,20.4,,3.00,,818,,0.16,,7.5,,,,,,,0,2,1,0,0,0,0,0,0,0,,0,,161,,1,2,24,SVCP,470,T,,1,1050.00,,,,,,0,2708
Peoria TWZ,16011704,6,2,TWZ,07/24/2014,09:45,07/24/2014,10:00,LG,I157.8Vb,D,1,,5.0,M-,200,0,15,5171,5060,230,,22.00,,60.00,,25,,16,277612,4500954,,785074,4503093,2,1.0,18,,26.0,,1.20,,689,,0.20,,6.0,,,,,,,0,4,0,0,0,1,0,0,0,0,,0,,29163,,1,2,155,SVCP,10,T,1,511,,,,,,,0,2711
Bath Fixed,16009812,6,2,SCB,10/09/2009,11:01,10/09/2009,11:16,LG,I113.0Tb,D,3,,5.0,M-,200,0,15,4789,4680,180,,26.00,,60.00,,25,,15,743477,4455118,74350.45490,743477,4455118,2,2.0,24,,14.4,,0.80,,787,,0.17,,8.6,,,,,,,0,4,1,0,0,0,0,0,0,0,,0,,128,,1,1,13,SVCP,660,T,,1,2928.00,,,,,,0,2706
LaGrange,16009843,6,0,MCB-U,10/15/2009,11:30,10/15/2009,11:45,LG,D8.RS,D,3,,5.0,M-,200,0,15,4010,4000,200,,20.00,,60.00,,25,,15,711584,4425515,71160.42530,711584,4425515,2,1.0,20,,10.5,,0.60,,634,,0.10,,9.6,,,,,,,0,2,1,0,0,0,0,0,0,0,,0,,20,,1,1,13,SVCP,360,T,1,1,,,,,,,0,2706
Bath Fixed,16009940,6,2,SCB,09/20/2010,10:40,09/20/2010,10:55,LG,I113.0Ta,D,3,,5.0,M-,200,0,15,5512,5600,200,,28.00,,60.00,,25,,15,743477,4455118,74350.45490,743477,4455118,2,1.0,18,,23.0,,1.20,,804,,0.08,,6.4,,,,,,,0,4,1,0,0,0,0,0,0,0,,0,,95,,1,1,15,SVCP,421,T,,1,698.00,,,,,,0,2707
BATH CHUTE,16008542,6,0,SCB,10/06/2006,12:10,10/06/2006,12:25,LG,D35.RS,D,3,,5.0,M-,200,0,15,5092,5000,200,,25.00,,60.00,,25,,15,738683,4449665,73870.44945,738683,4449665,2,1.0,36,,20.1,,1.50,,758,,0.23,,8.1,,,,,,,0,2,1,0,0,0,0,0,1,0,,0,,101,,1,1,17,SVCP,502,T,,1,1407.00, ,  ,          M,,,0,2601
Bath Fixed,16012900,6,2,SCB,07/28/2016,07:32,07/28/2016,07:47,LG,I113.0Tb,D,1,,5.0,M-,200,0,15,4730,4800,200,,24.00,,60.00,,25,,15,743477,4455118,74350.45510,743477,4455118,1,1.0,19,,29.8,,4.10,,556,,0.74,,4.9,,,,,,,0,2,1,0,0,0,0,0,0,0,,0,,28,,1,1,14,SVCP,530,T,1,1,,,,,,,0,2714
Peoria TWZ,16013069,6,2,TWZ,08/10/2017,10:40,08/10/2017,10:55,LG,I157.8Va,D,2,,5.0,M-,200,0,15,5190,5040,210,,24.00,,60.00,,25,,16,277612,4500954,,785074,4503093,2,1.0,25,,25.7,,3.40,,693,,0.34,,6.3,,,,,,,0,4,0,0,0,1,0,0,0,0,,0,,469,,1,2,71,SVCP,510,T,1,1,,,,,,,0,2715
BATH CHUTE,16014484,6,0,SCB,08/05/2020,09:09,08/07/2020,11:51,LG,HL10.RS,HL,2,,5.0,M-,,50,42,,,,,,,,,,,15,742683,4453015,,742683,4453015,2,1.0,24,,25.3,,2.20,,655,,0.29,,6.3,,,,,,,0,2,0,0,0,0,0,0,0,0,,0,,13,,1,1,8,SVCP,590,T,1,1,, ,  ,    M,,,0,2718
Peoria TWZ,16009982,6,2,TWZ,10/20/2010,10:12,10/20/2010,10:27,LG,I157.8Vb,D,3,,5.0,M-,200,0,15,5094,5000,200,,25.00,,60.00,,25,,16,277612,4500954,78510.50290,785073,4503092,2,1.0,29,,14.8,,,5,848,,,5,7.6,,,,,,,0,4,0,0,0,0,0,0,0,0,,0,,112,,1,1,9,SVCP,580,T,1,1,,,,,,,0,2707
RM 157,16010320,6,1,MCB-U,07/11/2011,11:44,07/13/2011,12:18,LG,A2A.RS,HL,1,,5.0,M-,,48,34,,,,,,,,,,,15,784584,4502365,78460.50215,784584,4502365,2,1.0,36,,29.8,,2.10,,706,,0.43,,6.5,,,,,,,0,1,0,0,0,0,0,0,1,0,,0,,5,,1,2,4,SVCP,650,T,1,1,,,,,,,0,2708
BATH CHUTE,16010380,6,1,SCB,08/03/2011,13:33,08/03/2011,13:48,LG,C32A.RS,D,2,,5.0,M-,200,0,15,5495,5460,195,,28.00,,60.00,,25,,15,743433,4453615,74345.45340,743433,4453615,2,1.0,30,,32.3,,1.50,,679,,0.24,,4.8,,,,,,,0,2,0,0,0,0,0,0,0,0,,1,,315,,1,1,24,SVCP,500,T,1,1,,,,,,,0,2708
HAVANA,16009820,6,0,MCB-U,10/12/2009,10:33,10/12/2009,10:48,LG,D1.RS,D,3,,5.0,M-,200,0,15,4581,4400,200,,22.00,,60.00,,25,,15,748183,4463015,74820.46280,748183,4463015,2,2.0,30,,11.6,,0.50,,768,,0.09,,8.2,,,,,,,0,1,1,0,0,0,0,0,0,1,,0,,72,,1,1,62,SVCP,345,T,,1,384.00,,,,,,0,2706
SENATE ISLA,16008038,6,0,MCB-U,10/20/2004,11:57,10/20/2004,12:12,LG,D28.RS,D,3,,5.0,M-,200,0,15,4118,4000,200,,20.00,,60.00,,25,,15,762383,4482665,76240.48245,762383,4482665,1,1.0,26,,12.7,,0.50,,618,,0.09,,7.2,,,,,,,0,1,0,0,0,0,0,0,0,0,,0,,109,,1,1,39,SVCP,397,T,1,1,676.00,,,,,,0,2401
BAR ISLAND,16011948,6,0,SCB,08/13/2014,10:53,08/13/2014,11:08,LG,D24.RS,D,2,,5.0,M-,200,0,15,5611,5535,205,,27.00,,60.00,,25,,15,715083,4431165,,715083,4431165,2,1.0,21,,25.8,,1.60,,779,,0.16,,2.5,,,,,,,0,3,1,0,0,0,0,0,0,0,,0,,224,,1,1,7,SVCP,540,T,1,1,,,,,,,0,2711
Grape Island,16013574,6,0,SCB,08/06/2018,11:35,08/06/2018,11:50,LG,D23.RS,D,2,,5.0,M-,200,0,15,5406,5400,200,,27.00,,60.00,,25,,15,715433,4431115,,715433,4431115,2,1.0,21,,28.8,,1.00,,698,,0.14,,6.3,,,,,,,0,2,1,0,0,0,0,0,0,0,,0,,435,,1,1,34,SVCP,70,T,1,1,,,,,,,0,2716
134.5,16011497,6,0,MCB-U,08/16/2013,12:06,08/16/2013,12:21,LG,D5.RS,D,2,,5.0,M-,200,0,15,5828,5800,200,,29.00,,60.00,,25,,15,770233,4492865,77025.49265,770232,4492865,2,1.0,16,,27.4,,1.20,,808,,0.28,,9.0,,,,,,,0,2,0,0,0,0,0,0,0,0,,0,,762,,1,1,4,SVCP,480,T,1,1,,,,,,,0,2710
Bath Fixed,16009495,6,2,SCB,08/05/2009,08:15,08/05/2009,08:30,LG,I113.0Ta,D,2,,5.0,M-,200,0,15,5232,5220,180,,29.00,,60.00,,25,,15,743477,4455118,74350.45490,743477,4455118,1,1.0,18,,24.9,,1.20,,715,,0.10,,6.6,,,,,,,0,1,1,0,0,0,0,0,0,0,,0,,143,,1,1,77,SVCP,334,T,,1,374.00,,,,,,0,2706
LaGrange,16009843,6,0,MCB-U,10/15/2009,11:30,10/15/2009,11:45,LG,D8.RS,D,3,,5.0,M-,200,0,15,4010,4000,200,,20.00,,60.00,,25,,15,711584,4425515,71160.42530,711584,4425515,2,1.0,20,,10.5,,0.60,,634,,0.10,,9.6,,,,,,,0,2,1,0,0,0,0,0,0,0,,0,,20,,1,1,18,SVCP,350,T,1,1,,,,,,,0,2706
SUGAR CREEK,16014562,6,0,SCB,08/20/2020,09:09,08/20/2020,09:24,LG,D23.RS,D,2,,5.0,M-,200,0,15,5617,5600,200,,28.00,,60.00,,25,,15,722483,4440765,,722483,4440765,2,1.0,22,,27.7,,1.00,,752,,0.16,,6.3,,,,,,,0,2,1,0,0,0,0,0,0,0,,1,,316,,1,1,1,SVCP,590,T,1,1,, ,  ,    M,,,0,2718
SUGAR CREEK,16014562,6,0,SCB,08/20/2020,09:09,08/20/2020,09:24,LG,D23.RS,D,2,,5.0,M-,200,0,15,5617,5600,200,,28.00,,60.00,,25,,15,722483,4440765,,722483,4440765,2,1.0,22,,27.7,,1.00,,752,,0.16,,6.3,,,,,,,0,2,1,0,0,0,0,0,0,0,,1,,316,,1,1,10,SVCP,600,T,1,1,, ,  ,    M,,,0,2718
TREADWAY,16010937,6,1,BWC-S,10/23/2012,08:57,10/23/2012,09:12,LG,F299A.RS,D,3,,5.0,M-,200,0,15,4884,4830,230,,21.00,,60.00,,25,,15,722133,4438365,72215.43815,722133,4438365,2,1.0,24,,16.0,,1.80,,775,,0.01,,11.1,,,,,,,0,2,1,0,0,0,0,0,0,0,,0,,78,,1,2,23,SVCP,509,T,,1,1335.00,5,,,,,0,2709
LILLY LAKE,16011084,6,1,BWC-S,09/04/2012,10:58,09/04/2012,11:13,LG,F380A.RS,D,2,,5.0,M-,200,0,15,5765,5750,230,,25.00,,60.00,,25,,15,712733,4428965,71275.42875,712733,4428965,2,1.0,25,,28.5,,1.30,,781,,0.00,,7.2,,,,,,,0,2,1,0,0,0,0,0,0,0,,0,,88,,1,1,1,SVCP,520,T,1,1,,,,,,,0,2709
LILLY LAKE,16011084,6,1,BWC-S,09/04/2012,10:58,09/04/2012,11:13,LG,F380A.RS,D,2,,5.0,M-,200,0,15,5765,5750,230,,25.00,,60.00,,25,,15,712733,4428965,71275.42875,712733,4428965,2,1.0,25,,28.5,,1.30,,781,,0.00,,7.2,,,,,,,0,2,1,0,0,0,0,0,0,0,,0,,88,,1,1,10,SVCP,610,T,1,1,,,,,,,0,2709
MATANZAS,16009235,6,0,BWC-S,06/26/2008,13:34,06/26/2008,13:49,LG,D26.RS,D,1,,5.0,M-,200,0,15,4994,5000,200,,25.00,,60.00,,25,,15,747083,4460415,74710.46020,747083,4460415,2,1.0,45,,27.6,,2.10,,629,,0.02,,19.2,,,,,,,0,2,0,0,1,0,0,0,1,0,,0,,522,,1,1,8,SVCP,110,T,1,1,,,,,,,0,2704
MEYERS DITCH,16009530,6,1,BWC-S,08/18/2009,09:45,08/18/2009,10:00,LG,F367A.RS,D,2,,5.0,M-,200,0,15,4357,4370,190,,23.00,,60.00,,25,,15,756483,4476065,75650.47585,756483,4476065,2,1.0,11,,25.9,,0.60,,519,,0.00,,5.6,,,,,,,0,1,1,0,0,0,0,0,0,0,,0,,97,,1,1,21,SVCP,310,T,1,1,,,,,,,0,2706
Pekin Lake,16013231,6,0,BWC-S,06/22/2017,08:27,06/22/2017,08:42,LG,D26.RS,D,1,,7.0,M-,200,0,15,5356,5670,210,,27.00,,60.00,,25,,15,783484,4499465,,783484,4499465,2,1.0,20,,25.9,,1.30,,727,,0.02,,12.4,,,,,,,0,2,1,0,0,0,0,0,1,0,,0,,25,,1,1,2,SVCP,200,T,1,1,,,,,,,0,2715
BATH CHUTE,16010968,6,0,SCB,06/26/2012,10:31,06/26/2012,10:46,LG,D20.RS,D,1,,5.0,M-,200,0,15,6206,6206,214,,29.00,,60.00,,25,,15,741783,4452865,74180.45265,741783,4452865,2,1.0,16,,26.6,,1.50,,883,,0.15,,2.8,3,,,,,,0,1,1,0,0,0,1,0,0,0,,0,,69,,1,1,3,SVCP,490,T,1,1,,,,,,,0,2709
ANDRSN LK MC,16011100,6,0,MCB-U,08/07/2012,11:05,08/07/2012,11:20,LG,D9.RS,D,2,,5.0,M-,200,0,15,6400,6400,200,,32.00,,60.00,,25,,15,740883,4455315,74090.45510,740883,4455315,2,1.0,27,,30.4,,1.50,,883,,0.04,,5.9,,,,,,,0,4,0,0,0,0,0,0,0,0,,0,,26,,1,2,3,SVCP,490,T,1,1,,,,,,,0,2709
BANNER SC,16008212,6,1,SCB,09/29/2005,11:45,09/29/2005,12:00,LG,C28A.RS,D,3,,5.0,M-,200,0,15,5191,5250,175,,30.00,,60.00,,25,,15,767183,4491065,76720.49085,767183,4491065,2,1.0,16,,20.4,,0.60,,781,,0.05,,7.4,,,,,,,0,2,1,0,0,0,0,0,0,0,,0,,100,,1,1,33,SVCP,511,T,,1,1425.00, ,  ,          M,,,0,2501
RM 81,16011733,6,0,MCB-U,08/25/2014,09:20,08/26/2014,10:17,LG,M8.RS,M,2,,8.0,M-,,24,57,,,,,,,,,,,15,710884,4424915,,710884,4424915,2,1.0,13,,28.0,,1.20,,743,,0.40,,3.0,,,,,,,0,2,0,0,0,0,0,0,0,0,,0,,1308,,1,1,332,SVCP,70,T,1,1,,,,,,,0,2711
PEKIN MARINA,16014620,6,1,BWC-S,09/24/2020,12:19,09/24/2020,12:34,LG,F27A.RS,D,3,,5.0,M-,200,0,15,5501,5760,180,,32.00,,60.00,,25,,15,783334,4497215,,783334,4497215,2,1.0,24,,24.5,,1.00,,786,,0.01,5,6.7,,,,,,,0,2,1,0,0,1,0,0,0,0,,0,,102,,1,1,45,SVCP,274,T,,1,174.00, ,  ,    F,,,0,2718
SUGAR CREEK,16009835,6,0,SCB,10/14/2009,09:51,10/14/2009,10:06,LG,D18.RS,D,3,,5.0,M-,200,0,15,4180,4000,200,,20.00,,60.00,,25,,15,722783,4441665,72280.44145,722783,4441665,2,2.0,28,,10.0,,0.70,,687,,0.08,,9.3,,,,,,,0,1,1,0,0,0,0,0,0,0,,0,,99,,1,1,76,SVCP,380,T,1,1,,,,,,,0,2706
Bath Fixed,16011715,6,2,SCB,08/07/2014,08:07,08/08/2014,09:03,LG,I113.0Ta,M,2,,5.0,M-,,24,56,,,,,,,,,,,15,743477,4455118,,743477,4455118,2,1.0,21,,26.1,,0.80,,714,,0.28,,3.6,,,,,,,0,2,0,0,0,0,0,0,0,0,,0,,1392,,1,1,405,SVCP,10,T,1,1,,,,,,,0,2711
RM 108,16011921,6,0,MCB-U,07/08/2014,08:42,07/08/2014,08:57,LG,D9.RS,D,1,,5.0,M-,200,0,15,4730,4730,215,,22.00,,60.00,,25,,15,738333,4451715,,738333,4451715,2,1.0,27,,25.1,,3.40,,609,,0.80,9,5.6,,,,,,,0,2,1,0,0,0,0,0,1,0,,0,,33,,1,1,12,SVCP,10,T,1,10,,,,,,,0,2711
BATH CHUTE,16011927,6,0,SCB,07/22/2014,10:15,07/22/2014,10:30,LG,D20.RS,D,1,,5.0,M-,200,0,15,4953,4945,215,,23.00,,60.00,,25,,15,740283,4450115,,740283,4450115,2,1.0,34,,25.9,,1.80,,644,,0.38,9,5.4,,,,,,,0,2,0,0,0,0,0,0,1,0,,0,,195,,1,1,28,SVCP,30,T,1,1,,,,,,,0,2711
LILLY LAKE,16013173,6,1,BWC-S,10/19/2017,11:00,10/19/2017,11:15,LG,F372A.RS,D,3,,5.0,M-,200,0,15,4998,5060,230,,22.00,,60.00,,25,,15,713883,4430265,,713883,4430265,2,1.0,17,,15.7,,1.00,,804,,0.01,,7.5,,,,,,,0,2,1,0,0,0,0,0,0,0,,0,,490,,1,2,73,SVCP,40,T,1,1,,,,,,,0,2715
TREADWAY,16009956,6,1,BWC-S,09/23/2010,12:50,09/23/2010,13:05,LG,F177A.RS,D,3,,5.0,M-,200,0,15,4557,4600,200,,23.00,,60.00,,25,,15,721933,4438165,72195.43795,721933,4438165,2,1.0,14,,24.9,,1.30,,572,,0.00,,6.5,,,,,,,0,1,1,0,0,0,0,0,0,0,,0,,111,,1,1,18,SVCP,450,T,1,1,,,,,,,0,2707
matanzas lk,16011021,6,1,BWC-S,07/23/2012,11:23,07/23/2012,11:38,LG,F175A.RS,D,1,,5.0,M-,200,0,15,4520,4510,205,,22.00,,60.00,,25,,15,745783,4458265,74580.45805,745783,4458265,2,1.0,15,,29.6,,1.00,,515,,0.00,,6.4,,,,,,,0,3,0,0,0,0,0,0,0,0,,0,,287,,1,1,2,SVCP,480,T,1,1,,,,,,,0,2709
matanzas lk,16011021,6,1,BWC-S,07/23/2012,11:23,07/23/2012,11:38,LG,F175A.RS,D,1,,5.0,M-,200,0,15,4520,4510,205,,22.00,,60.00,,25,,15,745783,4458265,74580.45805,745783,4458265,2,1.0,15,,29.6,,1.00,,515,,0.00,,6.4,,,,,,,0,3,0,0,0,0,0,0,0,0,,0,,287,,1,1,20,SVCP,490,T,1,1,,,,,,,0,2709
LILLY LAKE,16011090,6,1,BWC-S,09/04/2012,13:42,09/04/2012,13:57,LG,F372A.RS,D,2,,5.0,M-,200,0,15,5893,5800,200,,29.00,,60.00,,25,,15,713283,4429865,71330.42965,713283,4429865,2,1.0,19,,30.2,,0.60,,778,,0.00,,9.5,,,,,,,0,2,1,0,0,0,0,0,0,0,,0,,228,,1,1,2,SVCP,510,T,1,1,,,,,,,0,2709
CRYSTAL LAKE,16008580,6,0,BWC-S,10/05/2006,10:55,10/05/2006,11:10,LG,D18.RS,D,3,,5.0,M-,200,0,15,3800,4000,200,,20.00,,60.00,,25,,15,782084,4494065,78210.49385,782084,4494065,1,1.0,47,,20.6,,1.50,,823,,0.00,,7.1,,,,,,,0,4,0,0,0,0,0,0,0,0,,0,,164,,1,1,118,SVCP,512,T,,1,1378.00, ,  ,          M,,,0,2601
Bath Fixed,16013396,6,2,SCB,09/25/2017,10:07,09/25/2017,10:22,LG,I113.0Ta,D,3,,5.0,M-,200,0,15,5919,5890,190,,31.00,,60.00,,25,,15,743477,4455118,,743477,4455118,2,1.0,22,,27.0,,2.90,,826,,0.07,,4.9,,,,,,,0,2,1,0,0,0,0,0,0,0,,1,,74,,1,1,21,SVCP,583,T,,1,2107.00,,,,,,0,2715
RM 127,16014475,6,0,MCB-U,08/05/2020,11:43,08/05/2020,11:58,LG,D5.RS,D,2,,5.0,M-,200,0,15,5088,5000,200,,25.00,,60.00,,25,,15,753933,4474665,,753933,4474665,2,1.0,30,,26.5,,2.00,,672,,0.30,,13.3,,,,,,,0,2,1,0,0,0,0,0,0,0,,0,,96,,1,1,4,SVCP,609,T,,1,2440.00, ,  ,    M,,,0,2718
MYERS DITCH,16010492,6,1,BWC-S,09/02/2011,12:03,09/02/2011,12:18,LG,F129A.RS,D,2,,5.0,M-,200,0,15,4689,4600,200,,23.00,,60.00,,25,,15,756583,4476265,75660.47605,756583,4476265,2,1.0,18,,30.3,,1.10,,548,,0.01,,3.5,,,,,,,0,2,0,0,0,0,0,0,0,0,,0,,63,,1,1,15,SVCP,500,T,1,1,,,,,,,0,2708
COPPERAS,16009137,6,0,MCB-U,08/06/2008,10:25,08/06/2008,10:40,LG,D3.RS,D,2,,5.0,M-,200,0,15,5837,5800,200,,29.00,,60.00,,25,,15,763933,4487215,76395.48700,763933,4487215,2,2.0,17,,29.4,,1.00,,781,,0.18,,,0,,,,,,0,1,0,0,0,0,0,0,0,0,,0,,573,,1,1,63,SVCP,470,T,1,1,,,,,,,0,2704
MEYERS DITCH,16009347,6,1,BWC-S,08/29/2008,12:35,08/29/2008,12:50,LG,F50A.RS,D,2,,5.0,M-,200,0,15,5259,5270,170,,31.00,,60.00,,25,,15,755883,4475365,75590.47515,755883,4475365,2,2.0,18,,27.3,,0.70,,694,,0.00,,4.5,,,,,,,0,1,1,0,0,0,0,0,0,0,,0,,145,,1,1,125,SVCP,180,T,1,1,,,,,,,0,2704
EDWARD STATI,16009135,6,0,MCB-U,08/05/2008,12:00,08/05/2008,12:15,LG,D34.RS,D,2,,5.0,M-,200,0,15,5578,5550,185,,30.00,,60.00,,25,,15,782684,4499515,78270.49930,782684,4499515,2,1.0,16,,27.0,,1.00,,758,,0.19,,,0,,,,,,0,3,0,0,0,0,0,0,0,0,,0,,7401,,1,2,86,SVCP,80,T,1,1502,,,,,,,0,2704
RM 141,16012553,6,0,MCB-U,07/05/2016,10:39,07/05/2016,10:54,LG,D3.RS,D,1,,5.0,M-,200,0,15,5250,5265,195,,27.00,,60.00,,25,,15,767283,4490815,76730.49080,767283,4490815,2,1.0,25,,28.3,,2.30,,708,,0.14,,6.6,,,,,,,0,2,0,0,0,0,0,0,0,0,,0,,11,,1,1,2,SVCP,560,T,1,1,,,,,,,0,2714
RM 115,16013570,6,0,MCB-U,07/23/2018,13:11,07/24/2018,13:07,LG,M5.RS,M,1,,5.0,M-,,23,56,,,,,,,,,,,15,745183,4458615,,745183,4458615,2,1.0,25,,26.1,,0.50,,642,,0.09,,6.1,,,,,,,0,2,0,0,0,0,0,0,0,0,,5,,27829,,1,2,61,SVCP,50,T,1,957,,,,,,,0,2716
SUGAR CREEK,16009510,6,0,SCB,08/12/2009,11:35,08/12/2009,11:50,LG,D15.RS,D,2,,5.0,M-,200,0,15,5510,5400,200,,27.00,,60.00,,25,,15,722783,4441865,72280.44165,722783,4441865,2,1.0,17,,27.6,,2.00,,731,,0.22,,6.2,,,,,,,0,4,1,0,0,0,0,0,0,0,,0,,102,,1,1,43,SVCP,330,T,1,1,,,,,,,0,2706
TOWHEAD,16009818,6,0,SCB,10/12/2009,09:11,10/12/2009,09:26,LG,D10.RS,D,3,,5.0,M-,200,0,15,4084,3960,180,,22.00,,60.00,,25,,15,749633,4467015,74965.46680,749633,4467015,2,2.0,38,,9.6,,0.50,,657,,0.10,,9.4,,,,,,,0,1,0,0,0,0,0,0,0,0,,0,,21,,1,1,13,SVCP,347,T,,1,392.00,,,,,,0,2706
LIVERPOOL,16007947,6,0,MCB-U,09/27/2004,11:05,09/27/2004,11:20,LG,D1.RS,D,3,,5.0,M-,200,0,15,5097,5000,200,,25.00,,60.00,,25,,15,755083,4475365,75510.47515,755083,4475365,1,1.0,20,,22.7,,0.50,,714,,0.12,,7.5,,,,,,,0,4,0,0,0,0,0,0,0,0,,0,,43,,1,1,12,SVCP,345,T,,1,443.00,,,,,,0,2401
MATANZAS,16011967,6,1,BWC-S,08/18/2014,13:04,08/19/2014,11:03,LG,F169A.RS,M,2,,5.0,M-,,21,59,,,,,,,,,,,15,745833,4458915,,745833,4458915,2,1.0,25,,29.7,,0.70,,523,,0.00,,3.1,,,,,,,0,4,1,0,0,0,0,0,0,0,,1,,52,,1,2,20,SVCP,50,T,1,1,,,,,,,0,2711
TOWHEAD,16012582,6,0,SCB,08/05/2016,07:25,08/05/2016,07:40,LG,D14.RS,D,2,,5.0,M-,200,0,15,5108,5400,200,,27.00,,60.00,,25,,15,749933,4467665,74995.46765,749933,4467665,2,1.0,29,,29.0,,2.00,,640,,0.15,,5.6,,,,,,,0,2,1,0,0,0,0,0,0,0,,0,,74,,1,1,43,SVCP,580,T,1,1,,,,,,,0,2714
BATH CHUTE,16013644,6,0,SCB,09/20/2018,09:31,09/20/2018,09:46,LG,D16.RS,D,3,,5.0,M-,200,0,15,5327,5520,230,,24.00,,60.00,,25,,15,741383,4452565,,741383,4452565,2,1.0,19,,27.5,,2.90,,695,,0.28,,5.8,,,,,,,0,2,1,0,0,0,0,0,0,0,,0,,90,,1,1,2,SVCP,591,T,,1,2177.00,,,,,,0,2716
BATH CHUTE,16014471,6,0,SCB,07/28/2020,11:20,07/28/2020,11:35,LG,D19.RS,D,1,,5.0,M-,200,0,15,4787,5000,200,,25.00,,60.00,,25,,15,739683,4449865,,739683,4449865,2,1.0,23,,29.0,,2.40,,577,,0.45,,6.0,,,,,,,0,2,1,0,0,0,0,0,0,0,,1,,235,,1,1,6,SVCP,594,T,,1,1798.00, ,  ,    F,,,0,2718
Copperas Cr,16009977,6,0,MCB-U,10/18/2010,12:06,10/18/2010,12:21,LG,D33.RS,D,3,,5.0,M-,200,0,15,5289,5200,26,,200.00,,60.00,,25,,15,760483,4480565,76050.48035,760483,4480565,2,1.0,26,,17.2,,1.50,,858,,0.23,,8.5,,,,,,,0,2,0,0,0,0,0,0,0,0,,0,,88,,1,1,3,SVCP,450,T,1,1,,,,,,,0,2707
BATH CHUTE,16010378,6,0,SCB,08/03/2011,12:27,08/03/2011,12:42,LG,D19.RS,D,2,,5.0,M-,200,0,15,5457,5460,195,,28.00,,60.00,,25,,15,741033,4450615,74105.45040,741033,4450615,2,1.0,20,,32.3,,2.00,,672,,0.29,,3.3,,,,,,,0,2,0,0,0,0,0,0,0,0,,0,,35,,1,1,17,SVCP,500,T,1,1,,,,,,,0,2708
RM 80,16011559,6,0,MCB-U,09/16/2013,10:09,09/18/2013,09:31,LG,HL8.RS,HL,3,,5.0,M-,,47,22,,,,,,,,,,,15,711084,4425065,71110.42485,711084,4425065,2,1.0,21,,24.4,,1.50,,780,,0.08,,4.8,,,,,,,0,2,0,0,0,0,0,0,0,1,,0,,11,,1,1,8,SVCP,776,T,,1,3610.00,,,,,,0,2710
BATH CHUTE,16009377,6,0,SCB,09/10/2008,12:03,09/10/2008,12:18,LG,D17.RS,D,2,,5.0,M-,200,0,15,5396,5200,200,,26.00,,60.00,,25,,15,739333,4449615,73935.44940,739333,4449615,2,2.0,15,,22.6,,1.00,,779,,0.10,,4.2,,,,,,,0,1,1,0,0,0,0,0,0,0,,0,,104,,1,1,22,SVCP,230,T,1,1,,,,,,,0,2704
Bath Fixed,16009940,6,2,SCB,09/20/2010,10:40,09/20/2010,10:55,LG,I113.0Ta,D,3,,5.0,M-,200,0,15,5512,5600,200,,28.00,,60.00,,25,,15,743477,4455118,74350.45490,743477,4455118,2,1.0,18,,23.0,,1.20,,804,,0.08,,6.4,,,,,,,0,4,1,0,0,0,0,0,0,0,,0,,95,,1,1,16,SVCP,476,T,,1,985.00,,,,,,0,2707
Bath Fixed,16009940,6,2,SCB,09/20/2010,10:40,09/20/2010,10:55,LG,I113.0Ta,D,3,,5.0,M-,200,0,15,5512,5600,200,,28.00,,60.00,,25,,15,743477,4455118,74350.45490,743477,4455118,2,1.0,18,,23.0,,1.20,,804,,0.08,,6.4,,,,,,,0,4,1,0,0,0,0,0,0,0,,0,,95,,1,1,28,SVCP,464,T,,1,945.00,,,,,,0,2707
